"","lookback","still_thresh","zfv","zrv","yfv","yrv","zfc","zrc","yfc","yrc","control_region_taps","canon_taps_found","frac_taps_found","total_taps_found","canon_taps"
"211",20,0.05,-0.25,0.35,0,0,3,2,0,0,0,0,0,0,51
"212",20,0.05,-0.2,0.35,0,0,3,2,0,0,0,0,0,0,51
"213",20,0.05,-0.35,0.4,0,0,3,2,0,0,0,0,0,0,51
"214",20,0.05,-0.3,0.4,0,0,3,2,0,0,0,0,0,0,51
"215",20,0.05,-0.25,0.4,0,0,3,2,0,0,0,0,0,0,51
"216",20,0.05,-0.2,0.4,0,0,3,2,0,0,0,0,0,0,51
"217",20,0.05,-0.35,0,0,0,1,3,0,0,0,7,0.137254901960784,9,51
"218",20,0.05,-0.3,0,0,0,1,3,0,0,0,18,0.352941176470588,20,51
"219",20,0.05,-0.25,0,0,0,1,3,0,0,0,33,0.647058823529412,34,51
"220",20,0.05,-0.2,0,0,0,1,3,0,0,0,42,0.823529411764706,42,51
"221",20,0.05,-0.35,0.05,0,0,1,3,0,0,0,4,0.0784313725490196,4,51
"222",20,0.05,-0.3,0.05,0,0,1,3,0,0,0,4,0.0784313725490196,5,51
"223",20,0.05,-0.25,0.05,0,0,1,3,0,0,0,7,0.137254901960784,7,51
"224",20,0.05,-0.2,0.05,0,0,1,3,0,0,0,8,0.156862745098039,8,51
"225",20,0.05,-0.35,0.1,0,0,1,3,0,0,0,2,0.0392156862745098,2,51
"226",20,0.05,-0.3,0.1,0,0,1,3,0,0,0,2,0.0392156862745098,2,51
"227",20,0.05,-0.25,0.1,0,0,1,3,0,0,0,3,0.0588235294117647,3,51
"228",20,0.05,-0.2,0.1,0,0,1,3,0,0,0,4,0.0784313725490196,4,51
"229",20,0.05,-0.35,0.15,0,0,1,3,0,0,0,1,0.0196078431372549,1,51
"230",20,0.05,-0.3,0.15,0,0,1,3,0,0,0,1,0.0196078431372549,1,51
"231",20,0.05,-0.25,0.15,0,0,1,3,0,0,0,2,0.0392156862745098,2,51
"232",20,0.05,-0.2,0.15,0,0,1,3,0,0,0,3,0.0588235294117647,3,51
"233",20,0.05,-0.35,0.2,0,0,1,3,0,0,0,1,0.0196078431372549,1,51
"234",20,0.05,-0.3,0.2,0,0,1,3,0,0,0,1,0.0196078431372549,1,51
"235",20,0.05,-0.25,0.2,0,0,1,3,0,0,0,1,0.0196078431372549,1,51
"236",20,0.05,-0.2,0.2,0,0,1,3,0,0,0,2,0.0392156862745098,2,51
"237",20,0.05,-0.35,0.25,0,0,1,3,0,0,0,0,0,0,51
"238",20,0.05,-0.3,0.25,0,0,1,3,0,0,0,0,0,0,51
"239",20,0.05,-0.25,0.25,0,0,1,3,0,0,0,0,0,0,51
"240",20,0.05,-0.2,0.25,0,0,1,3,0,0,0,1,0.0196078431372549,1,51
"241",20,0.05,-0.35,0.3,0,0,1,3,0,0,0,0,0,0,51
"242",20,0.05,-0.3,0.3,0,0,1,3,0,0,0,0,0,0,51
"243",20,0.05,-0.25,0.3,0,0,1,3,0,0,0,0,0,0,51
"244",20,0.05,-0.2,0.3,0,0,1,3,0,0,0,0,0,0,51
"245",20,0.05,-0.35,0.35,0,0,1,3,0,0,0,0,0,0,51
"246",20,0.05,-0.3,0.35,0,0,1,3,0,0,0,0,0,0,51
"247",20,0.05,-0.25,0.35,0,0,1,3,0,0,0,0,0,0,51
"248",20,0.05,-0.2,0.35,0,0,1,3,0,0,0,0,0,0,51
"249",20,0.05,-0.35,0.4,0,0,1,3,0,0,0,0,0,0,51
"250",20,0.05,-0.3,0.4,0,0,1,3,0,0,0,0,0,0,51
"251",20,0.05,-0.25,0.4,0,0,1,3,0,0,0,0,0,0,51
"252",20,0.05,-0.2,0.4,0,0,1,3,0,0,0,0,0,0,51
"253",20,0.05,-0.35,0,0,0,2,3,0,0,0,0,0,0,51
"254",20,0.05,-0.3,0,0,0,2,3,0,0,0,0,0,0,51
"255",20,0.05,-0.25,0,0,0,2,3,0,0,0,1,0.0196078431372549,2,51
"256",20,0.05,-0.2,0,0,0,2,3,0,0,0,6,0.117647058823529,8,51
"257",20,0.05,-0.35,0.05,0,0,2,3,0,0,0,0,0,0,51
"258",20,0.05,-0.3,0.05,0,0,2,3,0,0,0,0,0,0,51
"259",20,0.05,-0.25,0.05,0,0,2,3,0,0,0,1,0.0196078431372549,1,51
"260",20,0.05,-0.2,0.05,0,0,2,3,0,0,0,2,0.0392156862745098,2,51
"261",20,0.05,-0.35,0.1,0,0,2,3,0,0,0,0,0,0,51
"262",20,0.05,-0.3,0.1,0,0,2,3,0,0,0,0,0,0,51
"263",20,0.05,-0.25,0.1,0,0,2,3,0,0,0,1,0.0196078431372549,1,51
"264",20,0.05,-0.2,0.1,0,0,2,3,0,0,0,1,0.0196078431372549,1,51
"265",20,0.05,-0.35,0.15,0,0,2,3,0,0,0,0,0,0,51
"266",20,0.05,-0.3,0.15,0,0,2,3,0,0,0,0,0,0,51
"267",20,0.05,-0.25,0.15,0,0,2,3,0,0,0,1,0.0196078431372549,1,51
"268",20,0.05,-0.2,0.15,0,0,2,3,0,0,0,1,0.0196078431372549,1,51
"269",20,0.05,-0.35,0.2,0,0,2,3,0,0,0,0,0,0,51
"270",20,0.05,-0.3,0.2,0,0,2,3,0,0,0,0,0,0,51
"271",20,0.05,-0.25,0.2,0,0,2,3,0,0,0,1,0.0196078431372549,1,51
"272",20,0.05,-0.2,0.2,0,0,2,3,0,0,0,1,0.0196078431372549,1,51
"273",20,0.05,-0.35,0.25,0,0,2,3,0,0,0,0,0,0,51
"274",20,0.05,-0.3,0.25,0,0,2,3,0,0,0,0,0,0,51
"275",20,0.05,-0.25,0.25,0,0,2,3,0,0,0,0,0,0,51
"276",20,0.05,-0.2,0.25,0,0,2,3,0,0,0,0,0,0,51
"277",20,0.05,-0.35,0.3,0,0,2,3,0,0,0,0,0,0,51
"278",20,0.05,-0.3,0.3,0,0,2,3,0,0,0,0,0,0,51
"279",20,0.05,-0.25,0.3,0,0,2,3,0,0,0,0,0,0,51
"280",20,0.05,-0.2,0.3,0,0,2,3,0,0,0,0,0,0,51
"281",20,0.05,-0.35,0.35,0,0,2,3,0,0,0,0,0,0,51
"282",20,0.05,-0.3,0.35,0,0,2,3,0,0,0,0,0,0,51
"283",20,0.05,-0.25,0.35,0,0,2,3,0,0,0,0,0,0,51
"284",20,0.05,-0.2,0.35,0,0,2,3,0,0,0,0,0,0,51
"285",20,0.05,-0.35,0.4,0,0,2,3,0,0,0,0,0,0,51
"286",20,0.05,-0.3,0.4,0,0,2,3,0,0,0,0,0,0,51
"287",20,0.05,-0.25,0.4,0,0,2,3,0,0,0,0,0,0,51
"288",20,0.05,-0.2,0.4,0,0,2,3,0,0,0,0,0,0,51
"289",20,0.05,-0.35,0,0,0,3,3,0,0,0,0,0,0,51
"290",20,0.05,-0.3,0,0,0,3,3,0,0,0,0,0,0,51
"291",20,0.05,-0.25,0,0,0,3,3,0,0,0,0,0,0,51
"292",20,0.05,-0.2,0,0,0,3,3,0,0,0,0,0,0,51
"293",20,0.05,-0.35,0.05,0,0,3,3,0,0,0,0,0,0,51
"294",20,0.05,-0.3,0.05,0,0,3,3,0,0,0,0,0,0,51
"295",20,0.05,-0.25,0.05,0,0,3,3,0,0,0,0,0,0,51
"296",20,0.05,-0.2,0.05,0,0,3,3,0,0,0,0,0,0,51
"297",20,0.05,-0.35,0.1,0,0,3,3,0,0,0,0,0,0,51
"298",20,0.05,-0.3,0.1,0,0,3,3,0,0,0,0,0,0,51
"299",20,0.05,-0.25,0.1,0,0,3,3,0,0,0,0,0,0,51
"300",20,0.05,-0.2,0.1,0,0,3,3,0,0,0,0,0,0,51
"301",20,0.05,-0.35,0.15,0,0,3,3,0,0,0,0,0,0,51
"302",20,0.05,-0.3,0.15,0,0,3,3,0,0,0,0,0,0,51
"303",20,0.05,-0.25,0.15,0,0,3,3,0,0,0,0,0,0,51
"304",20,0.05,-0.2,0.15,0,0,3,3,0,0,0,0,0,0,51
"305",20,0.05,-0.35,0.2,0,0,3,3,0,0,0,0,0,0,51
"306",20,0.05,-0.3,0.2,0,0,3,3,0,0,0,0,0,0,51
"307",20,0.05,-0.25,0.2,0,0,3,3,0,0,0,0,0,0,51
"308",20,0.05,-0.2,0.2,0,0,3,3,0,0,0,0,0,0,51
"309",20,0.05,-0.35,0.25,0,0,3,3,0,0,0,0,0,0,51
"310",20,0.05,-0.3,0.25,0,0,3,3,0,0,0,0,0,0,51
"311",20,0.05,-0.25,0.25,0,0,3,3,0,0,0,0,0,0,51
"312",20,0.05,-0.2,0.25,0,0,3,3,0,0,0,0,0,0,51
"313",20,0.05,-0.35,0.3,0,0,3,3,0,0,0,0,0,0,51
"314",20,0.05,-0.3,0.3,0,0,3,3,0,0,0,0,0,0,51
"315",20,0.05,-0.25,0.3,0,0,3,3,0,0,0,0,0,0,51
"316",20,0.05,-0.2,0.3,0,0,3,3,0,0,0,0,0,0,51
"317",20,0.05,-0.35,0.35,0,0,3,3,0,0,0,0,0,0,51
"318",20,0.05,-0.3,0.35,0,0,3,3,0,0,0,0,0,0,51
"319",20,0.05,-0.25,0.35,0,0,3,3,0,0,0,0,0,0,51
"320",20,0.05,-0.2,0.35,0,0,3,3,0,0,0,0,0,0,51
"321",20,0.05,-0.35,0.4,0,0,3,3,0,0,0,0,0,0,51
"322",20,0.05,-0.3,0.4,0,0,3,3,0,0,0,0,0,0,51
"323",20,0.05,-0.25,0.4,0,0,3,3,0,0,0,0,0,0,51
