h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,hand1_to_center,hand2_to_center,h1x_cg,h1y_cg,h1z_cg,h2x_cg,h2y_cg,h2z_cg,hand_distance,time
-0.016608,0.027759,-0.089543,-0.016615,0.027759,-0.089536,1.003336,-0.942034,2.329209,-0.016615,0.027759,-0.089536,1.003337,-0.942034,2.329209,1.003336,-0.942034,2.329208,-0.090897,0.089536,1.013247,-0.939133,2.315728,1.013247,-0.939133,2.315728,0.000001,54
0.053891,0.015771,-0.073335,0.053895,0.015771,-0.073328,1.005133,-0.941508,2.326765,0.053895,0.015771,-0.073328,1.005133,-0.941508,2.326765,1.005133,-0.941508,2.326764,-0.073335,0.073328,0.998547,-0.942790,2.332315,0.998547,-0.942790,2.332315,0.000001,55
-0.035813,-0.006974,0.030205,-0.035813,-0.006974,0.030205,1.003939,-0.941741,2.327771,-0.035813,-0.006974,0.030198,1.003939,-0.941741,2.327772,1.003939,-0.941741,2.327771,0.030205,-0.030205,1.010278,-0.939458,2.315728,1.010278,-0.939458,2.315728,0.000001,56
0.034475,0.012413,-0.065503,0.034479,0.012413,-0.065496,1.005088,-0.941327,2.325588,0.034475,0.012413,-0.065496,1.005088,-0.941327,2.325588,1.005088,-0.941327,2.325588,-0.065503,0.074001,1.009344,-0.939199,2.315728,1.009344,-0.939199,2.315728,0.000000,57
0.023139,0.011582,-0.053608,0.023135,0.011582,-0.053616,1.005860,-0.940941,2.323801,0.023139,0.011582,-0.053608,1.005860,-0.940941,2.323801,1.005860,-0.940941,2.323801,-0.053608,0.053616,1.012678,-0.943504,2.332315,1.012678,-0.943504,2.332315,0.000001,58
0.037079,-0.013951,0.046299,0.037079,-0.013951,0.046313,1.007096,-0.941406,2.325345,0.037079,-0.013951,0.046306,1.007096,-0.941406,2.325345,1.007096,-0.941406,2.325344,0.000000,-0.046313,1.001859,-0.942800,2.332315,1.001859,-0.942800,2.332315,0.000000,59
-0.028478,-0.007569,0.037909,-0.028478,-0.007569,0.037901,1.006146,-0.941658,2.326608,-0.028478,-0.007569,0.037901,1.006146,-0.941658,2.326608,1.006146,-0.941658,2.326608,0.037909,-0.037901,1.001835,-0.942102,2.332315,1.001835,-0.942102,2.332315,0.000000,60
-0.023435,-0.002418,0.031035,-0.023435,-0.002418,0.031042,1.005365,-0.941739,2.327642,-0.023435,-0.002418,0.031035,1.005365,-0.941739,2.327643,1.005365,-0.941739,2.327642,0.031035,0.000000,0.988633,-0.943079,2.332315,0.988633,-0.943079,2.332315,0.000000,61
-0.091009,-0.007292,0.025392,-0.091009,-0.007292,0.025399,1.002331,-0.941982,2.328489,-0.091009,-0.007292,0.025399,1.002331,-0.941982,2.328489,1.002331,-0.941982,2.328489,0.000000,0.000000,1.002783,-0.942785,2.332315,1.002783,-0.942785,2.332315,0.000000,62
0.002468,-0.004367,0.020814,0.002468,-0.004367,0.020807,1.002414,-0.942127,2.329183,0.002468,-0.004367,0.020807,1.002414,-0.942127,2.329183,1.002414,-0.942127,2.329183,0.020814,0.000000,1.008185,-0.938002,2.315728,1.008185,-0.938002,2.315728,0.000000,63
0.031382,0.022439,-0.073164,0.031382,0.022439,-0.073164,1.003460,-0.941379,2.326744,0.031382,0.022439,-0.073156,1.003460,-0.941379,2.326744,1.003460,-0.941379,2.326744,0.000000,0.073164,1.002520,-0.938477,2.315728,1.002520,-0.938477,2.315728,0.000000,64
-0.005111,0.015793,-0.059910,-0.005111,0.015793,-0.059903,1.003289,-0.940853,2.324747,-0.005111,0.015793,-0.059910,1.003289,-0.940853,2.324747,1.003289,-0.940853,2.324747,0.000000,0.000000,1.012849,-0.939071,2.315728,1.012849,-0.939071,2.315728,0.000000,65
